station_id,timestamp,season,bikes_available,docks_available,capacity,utilization_rate,rebalance_status
BLR001,2025-02-10 00:00:00,dry,3,13,16,0.19,OK
BLR001,2025-02-10 01:00:00,dry,2,14,16,0.12,OK
BLR001,2025-02-10 02:00:00,dry,1,15,16,0.06,Understocked
BLR001,2025-02-10 03:00:00,dry,2,14,16,0.12,OK
BLR001,2025-02-10 04:00:00,dry,3,13,16,0.19,OK
BLR001,2025-02-10 05:00:00,dry,3,13,16,0.19,OK
BLR001,2025-02-10 06:00:00,dry,4,12,16,0.25,OK
BLR001,2025-02-10 07:00:00,dry,3,13,16,0.19,OK
BLR001,2025-02-10 08:00:00,dry,2,14,16,0.12,OK
BLR001,2025-02-10 09:00:00,dry,2,14,16,0.12,OK
BLR001,2025-02-10 10:00:00,dry,2,14,16,0.12,OK
BLR001,2025-02-10 11:00:00,dry,1,15,16,0.06,Understocked
BLR001,2025-02-10 12:00:00,dry,0,16,16,0.0,Understocked
BLR001,2025-02-10 13:00:00,dry,0,16,16,0.0,Understocked
BLR001,2025-02-10 14:00:00,dry,1,15,16,0.06,Understocked
BLR001,2025-02-10 15:00:00,dry,0,16,16,0.0,Understocked
BLR001,2025-02-10 16:00:00,dry,1,15,16,0.06,Understocked
BLR001,2025-02-10 17:00:00,dry,4,12,16,0.25,OK
BLR001,2025-02-10 18:00:00,dry,4,12,16,0.25,OK
BLR001,2025-02-10 19:00:00,dry,5,11,16,0.31,OK
BLR001,2025-02-10 20:00:00,dry,8,8,16,0.5,OK
BLR001,2025-02-10 21:00:00,dry,8,8,16,0.5,OK
BLR001,2025-02-10 22:00:00,dry,9,7,16,0.56,OK
BLR001,2025-02-10 23:00:00,dry,9,7,16,0.56,OK
BLR001,2025-02-11 00:00:00,dry,8,8,16,0.5,OK
BLR001,2025-02-11 01:00:00,dry,7,9,16,0.44,OK
BLR001,2025-02-11 02:00:00,dry,7,9,16,0.44,OK
BLR001,2025-02-11 03:00:00,dry,6,10,16,0.38,OK
BLR001,2025-02-11 04:00:00,dry,7,9,16,0.44,OK
BLR001,2025-02-11 05:00:00,dry,6,10,16,0.38,OK
BLR001,2025-02-11 06:00:00,dry,6,10,16,0.38,OK
BLR001,2025-02-11 07:00:00,dry,5,11,16,0.31,OK
BLR001,2025-02-11 08:00:00,dry,0,16,16,0.0,Understocked
BLR001,2025-02-11 09:00:00,dry,0,16,16,0.0,Understocked
BLR001,2025-02-11 10:00:00,dry,0,16,16,0.0,Understocked
BLR001,2025-02-11 11:00:00,dry,0,16,16,0.0,Understocked
BLR001,2025-02-11 12:00:00,dry,0,16,16,0.0,Understocked
BLR001,2025-02-11 13:00:00,dry,1,15,16,0.06,Understocked
BLR001,2025-02-11 14:00:00,dry,1,15,16,0.06,Understocked
BLR001,2025-02-11 15:00:00,dry,0,16,16,0.0,Understocked
BLR001,2025-02-11 16:00:00,dry,1,15,16,0.06,Understocked
BLR001,2025-02-11 17:00:00,dry,2,14,16,0.12,OK
BLR001,2025-02-11 18:00:00,dry,5,11,16,0.31,OK
BLR001,2025-02-11 19:00:00,dry,8,8,16,0.5,OK
BLR001,2025-02-11 20:00:00,dry,9,7,16,0.56,OK
BLR001,2025-02-11 21:00:00,dry,10,6,16,0.62,OK
BLR001,2025-02-11 22:00:00,dry,11,5,16,0.69,OK
BLR001,2025-02-11 23:00:00,dry,12,4,16,0.75,OK
BLR001,2025-02-12 00:00:00,dry,11,5,16,0.69,OK
BLR001,2025-02-12 01:00:00,dry,10,6,16,0.62,OK
