trip_id,operator,vehicle_type,start_station_id,end_station_id,start_time,end_time,duration_min,distance_km,fare_inr,user_type,day_type
TRP0000001,Yulu,E-Bike,BLR032,BLR012,2025-01-01 09:52:00,2025-01-01 09:58:24,6.4,1.64,19.6,Casual,Weekday
TRP0000002,Bounce,Bicycle,BLR001,BLR021,2025-01-01 07:10:00,2025-01-01 07:21:42,11.7,2.49,10.85,Casual,Weekday
TRP0000003,Yulu,Bicycle,BLR003,BLR004,2025-01-01 02:00:00,2025-01-01 02:02:00,2.0,0.3,6.0,Subscriber,Weekday
TRP0000004,Yulu,E-Scooter,BLR022,BLR012,2025-01-01 10:26:00,2025-01-01 10:38:48,12.8,3.68,29.2,Subscriber,Weekday
TRP0000005,Bounce,E-Bike,BLR039,BLR040,2025-01-01 07:49:00,2025-01-01 07:54:30,5.5,1.82,18.25,Subscriber,Weekday
TRP0000006,Yulu,Bicycle,BLR025,BLR026,2025-01-01 20:26:00,2025-01-01 20:36:42,10.7,1.63,10.35,Subscriber,Weekday
TRP0000007,Yulu,E-Scooter,BLR023,BLR034,2025-01-01 10:34:00,2025-01-01 10:36:30,2.5,0.61,13.75,Subscriber,Weekday
TRP0000008,Bounce,E-Bike,BLR005,BLR023,2025-01-01 10:47:00,2025-01-01 10:50:54,3.9,1.12,15.85,Casual,Weekday
TRP0000009,Bounce,E-Scooter,BLR028,BLR028,2025-01-01 18:57:00,2025-01-01 19:00:48,3.8,0.98,15.7,Subscriber,Weekday
TRP0000010,Yulu,E-Bike,BLR033,BLR002,2025-01-01 07:23:00,2025-01-01 07:31:12,8.2,2.07,22.3,Subscriber,Weekday
TRP0000011,Yulu,Bicycle,BLR019,BLR039,2025-01-01 10:27:00,2025-01-01 10:45:00,18.0,3.05,14.0,Subscriber,Weekday
TRP0000012,Yulu,E-Bike,BLR032,BLR031,2025-01-01 12:53:00,2025-01-01 12:58:30,5.5,1.89,18.25,Casual,Weekday
TRP0000013,Yulu,E-Bike,BLR041,BLR012,2025-01-01 21:25:00,2025-01-01 21:29:12,4.2,1.24,16.3,Subscriber,Weekday
TRP0000014,Bounce,E-Scooter,BLR011,BLR019,2025-01-01 19:14:00,2025-01-01 19:19:30,5.5,1.55,18.25,Subscriber,Weekday
TRP0000015,Bounce,Bicycle,BLR024,BLR023,2025-01-01 19:34:00,2025-01-01 19:52:54,18.9,3.15,14.45,Subscriber,Weekday
TRP0000016,Yulu,E-Bike,BLR016,BLR016,2025-01-01 08:37:00,2025-01-01 08:46:42,9.7,2.62,24.55,Casual,Weekday
TRP0000017,Yulu,E-Scooter,BLR032,BLR028,2025-01-01 18:53:00,2025-01-01 19:00:18,7.3,1.93,20.95,Subscriber,Weekday
TRP0000018,Yulu,Bicycle,BLR026,BLR034,2025-01-01 19:34:00,2025-01-01 19:49:12,15.2,2.4,12.6,Casual,Weekday
TRP0000019,Yulu,E-Bike,BLR027,BLR004,2025-01-01 18:00:00,2025-01-01 18:09:42,9.7,2.72,24.55,Subscriber,Weekday
TRP0000020,Yulu,E-Scooter,BLR032,BLR026,2025-01-01 05:34:00,2025-01-01 05:42:42,8.7,2.21,23.05,Subscriber,Weekday
TRP0000021,Yulu,E-Bike,BLR020,BLR020,2025-01-01 13:01:00,2025-01-01 13:10:18,9.3,2.86,23.95,Subscriber,Weekday
TRP0000022,Bounce,E-Scooter,BLR039,BLR038,2025-01-01 19:13:00,2025-01-01 19:18:00,5.0,1.38,17.5,Casual,Weekday
TRP0000023,Bounce,E-Scooter,BLR024,BLR010,2025-01-01 17:52:00,2025-01-01 17:54:00,2.0,0.3,13.0,Casual,Weekday
TRP0000024,Bounce,Bicycle,BLR008,BLR010,2025-01-01 16:19:00,2025-01-01 16:35:18,16.3,2.41,13.15,Casual,Weekday
TRP0000025,Bounce,E-Scooter,BLR029,BLR030,2025-01-01 10:30:00,2025-01-01 10:32:00,2.0,0.32,13.0,Subscriber,Weekday
TRP0000026,Yulu,E-Scooter,BLR032,BLR012,2025-01-01 07:48:00,2025-01-01 07:50:36,2.6,0.83,13.9,Subscriber,Weekday
TRP0000027,Yulu,E-Bike,BLR017,BLR040,2025-01-01 19:43:00,2025-01-01 19:58:48,15.8,3.48,33.7,Casual,Weekday
TRP0000028,Bounce,E-Scooter,BLR036,BLR040,2025-01-01 06:22:00,2025-01-01 06:25:24,3.4,0.84,15.1,Subscriber,Weekday
TRP0000029,Bounce,Bicycle,BLR038,BLR016,2025-01-01 09:10:00,2025-01-01 09:23:30,13.5,2.24,11.75,Subscriber,Weekday
TRP0000030,Yulu,Bicycle,BLR015,BLR023,2025-01-01 10:47:00,2025-01-01 11:12:00,25.0,3.78,17.5,Subscriber,Weekday
TRP0000031,Bounce,E-Scooter,BLR042,BLR021,2025-01-01 16:35:00,2025-01-01 16:44:18,9.3,2.58,23.95,Casual,Weekday
TRP0000032,Yulu,Bicycle,BLR007,BLR007,2025-01-01 19:44:00,2025-01-01 20:06:48,22.8,3.79,16.4,Subscriber,Weekday
TRP0000033,Bounce,Bicycle,BLR011,BLR040,2025-01-01 19:53:00,2025-01-01 20:06:12,13.2,2.89,11.6,Subscriber,Weekday
TRP0000034,Bounce,Bicycle,BLR010,BLR012,2025-01-01 09:52:00,2025-01-01 10:00:12,8.2,1.43,9.1,Subscriber,Weekday
TRP0000035,Bounce,E-Scooter,BLR038,BLR038,2025-01-01 00:42:00,2025-01-01 00:44:00,2.0,0.3,13.0,Casual,Weekday
TRP0000036,Bounce,Bicycle,BLR028,BLR004,2025-01-01 16:57:00,2025-01-01 17:00:18,3.3,0.64,6.65,Subscriber,Weekday
TRP0000037,Bounce,E-Bike,BLR008,BLR009,2025-01-01 19:06:00,2025-01-01 19:10:42,4.7,1.17,17.05,Subscriber,Weekday
TRP0000038,Yulu,E-Scooter,BLR022,BLR021,2025-01-01 20:50:00,2025-01-01 20:52:00,2.0,0.4,13.0,Casual,Weekday
TRP0000039,Yulu,E-Bike,BLR027,BLR028,2025-01-01 18:28:00,2025-01-01 18:39:36,11.6,2.85,27.4,Subscriber,Weekday
TRP0000040,Bounce,E-Scooter,BLR004,BLR025,2025-01-01 23:54:00,2025-01-01 23:58:06,4.1,1.44,16.15,Subscriber,Weekday
TRP0000041,Yulu,Bicycle,BLR037,BLR036,2025-01-01 17:09:00,2025-01-01 17:15:00,6.0,1.0,8.0,Subscriber,Weekday
TRP0000042,Yulu,E-Scooter,BLR033,BLR018,2025-01-01 18:42:00,2025-01-01 18:45:30,3.5,0.95,15.25,Casual,Weekday
TRP0000043,Bounce,Bicycle,BLR024,BLR002,2025-01-01 15:40:00,2025-01-01 15:49:12,9.2,1.76,9.6,Casual,Weekday
TRP0000044,Yulu,E-Scooter,BLR041,BLR041,2025-01-01 21:05:00,2025-01-01 21:07:00,2.0,0.53,13.0,Casual,Weekday
TRP0000045,Bounce,Bicycle,BLR021,BLR021,2025-01-01 14:44:00,2025-01-01 14:55:00,11.0,1.93,10.5,Subscriber,Weekday
TRP0000046,Bounce,E-Scooter,BLR042,BLR042,2025-01-01 18:40:00,2025-01-01 18:45:42,5.7,1.74,18.55,Subscriber,Weekday
TRP0000047,Bounce,Bicycle,BLR028,BLR028,2025-01-01 06:53:00,2025-01-01 07:07:18,14.3,2.12,12.15,Casual,Weekday
TRP0000048,Yulu,E-Scooter,BLR027,BLR020,2025-01-01 21:52:00,2025-01-01 21:55:06,3.1,0.93,14.65,Casual,Weekday
TRP0000049,Yulu,E-Scooter,BLR009,BLR021,2025-01-01 22:49:00,2025-01-01 22:59:36,10.6,3.33,25.9,Subscriber,Weekday
TRP0000050,Yulu,Bicycle,BLR037,BLR037,2025-01-01 19:20:00,2025-01-01 19:39:54,19.9,4.03,14.95,Subscriber,Weekday
TRP0000051,Bounce,Bicycle,BLR021,BLR021,2025-01-01 20:44:00,2025-01-01 20:56:06,12.1,1.76,11.05,Subscriber,Weekday
TRP0000052,Bounce,Bicycle,BLR008,BLR011,2025-01-01 14:06:00,2025-01-01 14:15:24,9.4,1.58,9.7,Casual,Weekday
TRP0000053,Bounce,Bicycle,BLR001,BLR013,2025-01-01 10:52:00,2025-01-01 10:56:24,4.4,0.98,7.2,Subscriber,Weekday
TRP0000054,Yulu,Bicycle,BLR025,BLR025,2025-01-01 08:40:00,2025-01-01 08:47:12,7.2,1.23,8.6,Subscriber,Weekday
TRP0000055,Bounce,Bicycle,BLR024,BLR023,2025-01-01 17:34:00,2025-01-01 17:51:54,17.9,2.67,13.95,Casual,Weekday
TRP0000056,Bounce,E-Bike,BLR030,BLR037,2025-01-01 20:20:00,2025-01-01 20:23:54,3.9,1.0,15.85,Subscriber,Weekday
TRP0000057,Yulu,E-Scooter,BLR037,BLR036,2025-01-01 18:26:00,2025-01-01 18:28:24,2.4,0.88,13.6,Casual,Weekday
TRP0000058,Bounce,Bicycle,BLR004,BLR028,2025-01-01 02:35:00,2025-01-01 02:44:54,9.9,1.82,9.95,Subscriber,Weekday
TRP0000059,Bounce,Bicycle,BLR030,BLR029,2025-01-01 07:40:00,2025-01-01 08:00:48,20.8,3.34,15.4,Subscriber,Weekday
TRP0000060,Bounce,Bicycle,BLR010,BLR010,2025-01-01 08:20:00,2025-01-01 08:39:54,19.9,3.67,14.95,Subscriber,Weekday
TRP0000061,Bounce,Bicycle,BLR036,BLR036,2025-01-01 09:24:00,2025-01-01 09:43:30,19.5,2.9,14.75,Casual,Weekday
TRP0000062,Yulu,E-Scooter,BLR033,BLR016,2025-01-01 23:55:00,2025-01-02 00:00:06,5.1,1.79,17.65,Casual,Weekday
TRP0000063,Yulu,E-Bike,BLR025,BLR001,2025-01-01 17:10:00,2025-01-01 17:13:36,3.6,0.87,15.4,Casual,Weekday
TRP0000064,Bounce,E-Scooter,BLR030,BLR001,2025-01-01 07:00:00,2025-01-01 07:08:00,8.0,2.43,22.0,Casual,Weekday
TRP0000065,Yulu,E-Scooter,BLR017,BLR002,2025-01-01 18:38:00,2025-01-01 18:47:24,9.4,3.02,24.1,Subscriber,Weekday
TRP0000066,Yulu,E-Scooter,BLR023,BLR023,2025-01-01 22:02:00,2025-01-01 22:10:12,8.2,2.59,22.3,Subscriber,Weekday
TRP0000067,Yulu,Bicycle,BLR033,BLR010,2025-01-01 19:03:00,2025-01-01 19:13:36,10.6,1.79,10.3,Casual,Weekday
TRP0000068,Yulu,E-Scooter,BLR022,BLR025,2025-01-01 06:23:00,2025-01-01 06:29:42,6.7,1.69,20.05,Subscriber,Weekday
TRP0000069,Yulu,E-Scooter,BLR018,BLR040,2025-01-01 19:34:00,2025-01-01 19:37:00,3.0,0.99,14.5,Subscriber,Weekday
TRP0000070,Yulu,E-Scooter,BLR023,BLR016,2025-01-01 20:50:00,2025-01-01 20:52:00,2.0,0.51,13.0,Subscriber,Weekday
TRP0000071,Bounce,E-Scooter,BLR034,BLR018,2025-01-01 10:04:00,2025-01-01 10:11:06,7.1,2.67,20.65,Casual,Weekday
TRP0000072,Yulu,Bicycle,BLR018,BLR019,2025-01-01 09:47:00,2025-01-01 09:56:00,9.0,1.5,9.5,Casual,Weekday
TRP0000073,Yulu,E-Scooter,BLR009,BLR026,2025-01-01 18:13:00,2025-01-01 18:17:30,4.5,1.09,16.75,Casual,Weekday
TRP0000074,Bounce,Bicycle,BLR030,BLR038,2025-01-01 01:28:00,2025-01-01 01:51:18,23.3,4.31,16.65,Subscriber,Weekday
TRP0000075,Bounce,Bicycle,BLR034,BLR008,2025-01-01 10:58:00,2025-01-01 11:04:12,6.2,1.03,8.1,Casual,Weekday
TRP0000076,Bounce,E-Scooter,BLR005,BLR005,2025-01-01 17:38:00,2025-01-01 17:41:54,3.9,1.09,15.85,Casual,Weekday
