date,rainfall_mm,rain_flag,avg_temp_c,condition
2025-01-01,0.0,False,22.1,Cloudy
2025-01-02,0.0,False,19.8,Cloudy
2025-01-03,0.0,False,22.1,Clear
2025-01-04,0.0,False,20.7,Cloudy
2025-01-05,0.0,False,17.9,Cloudy
2025-01-06,0.0,False,22.4,Clear
2025-01-07,0.0,False,23.0,Clear
2025-01-08,0.0,False,23.7,Clear
2025-01-09,0.0,False,25.5,Cloudy
2025-01-10,0.0,False,22.8,Haze
2025-01-11,0.0,False,26.2,Clear
2025-01-12,0.0,False,24.1,Clear
2025-01-13,0.0,False,22.9,Clear
2025-01-14,0.0,False,23.5,Clear
2025-01-15,0.0,False,21.5,Clear
2025-01-16,0.0,False,19.5,Cloudy
2025-01-17,34.4,True,19.1,Rain
2025-01-18,0.0,False,20.0,Clear
2025-01-19,0.0,False,22.9,Clear
2025-01-20,0.0,False,22.2,Clear
2025-01-21,0.0,False,23.3,Clear
2025-01-22,0.0,False,21.7,Haze
2025-01-23,0.0,False,23.2,Clear
2025-01-24,0.0,False,22.6,Clear
2025-01-25,0.0,False,20.8,Cloudy
2025-01-26,8.1,True,23.7,Rain
2025-01-27,0.0,False,23.8,Cloudy
2025-01-28,0.0,False,22.6,Clear
2025-01-29,0.0,False,23.5,Haze
2025-01-30,0.0,False,23.2,Clear
2025-01-31,0.0,False,23.1,Cloudy
2025-02-01,0.0,False,21.6,Cloudy
2025-02-02,0.0,False,24.6,Clear
2025-02-03,0.0,False,22.0,Clear
2025-02-04,17.0,True,21.7,Rain
2025-02-05,0.0,False,20.4,Clear
2025-02-06,0.0,False,26.2,Cloudy
2025-02-07,0.0,False,23.2,Clear
2025-02-08,0.0,False,23.3,Clear
2025-02-09,0.0,False,24.0,Clear
2025-02-10,0.0,False,21.7,Clear
2025-02-11,0.0,False,20.4,Clear
2025-02-12,0.0,False,22.5,Clear
2025-02-13,0.0,False,21.1,Clear
2025-02-14,0.0,False,22.5,Clear
2025-02-15,0.0,False,20.6,Cloudy
2025-02-16,0.0,False,21.6,Clear
2025-02-17,0.0,False,22.0,Clear
2025-02-18,0.0,False,20.0,Clear
2025-02-19,0.0,False,22.6,Cloudy
2025-02-20,0.0,False,20.3,Haze
2025-02-21,0.0,False,23.4,Clear
2025-02-22,0.0,False,21.2,Clear
2025-02-23,0.0,False,22.4,Clear
2025-02-24,0.0,False,22.0,Haze
2025-02-25,0.0,False,24.9,Clear
2025-02-26,0.0,False,23.9,Cloudy
2025-02-27,0.0,False,26.4,Clear
2025-02-28,0.0,False,20.4,Clear
2025-03-01,0.0,False,20.5,Haze
2025-03-02,0.0,False,22.3,Cloudy
2025-03-03,0.0,False,23.9,Cloudy
2025-03-04,0.0,False,20.8,Haze
2025-03-05,0.0,False,19.4,Haze
2025-03-06,0.0,False,25.7,Clear
2025-03-07,29.6,True,21.1,Rain
2025-03-08,0.0,False,18.6,Haze
2025-03-09,0.0,False,24.7,Cloudy
2025-03-10,0.0,False,18.8,Clear
2025-03-11,0.0,False,20.8,Cloudy
2025-03-12,0.0,False,22.0,Cloudy
2025-03-13,0.0,False,22.1,Cloudy
2025-03-14,0.0,False,19.9,Haze
2025-03-15,0.0,False,21.7,Clear
2025-03-16,0.0,False,18.9,Clear
2025-03-17,0.0,False,24.6,Clear
2025-03-18,0.0,False,24.4,Cloudy
2025-03-19,0.0,False,22.1,Cloudy
2025-03-20,0.0,False,23.3,Cloudy
2025-03-21,0.0,False,24.7,Clear
2025-03-22,27.5,True,18.5,Rain
2025-03-23,0.0,False,21.5,Clear
2025-03-24,0.0,False,23.4,Clear
2025-03-25,0.0,False,18.6,Clear
2025-03-26,0.0,False,21.9,Clear
2025-03-27,0.0,False,19.4,Clear
2025-03-28,0.0,False,23.3,Clear
2025-03-29,0.0,False,22.7,Clear
2025-03-30,0.0,False,20.1,Cloudy
2025-03-31,0.0,False,20.0,Clear
2025-04-01,19.2,True,26.4,Rain
2025-04-02,8.4,True,25.1,Rain
2025-04-03,0.0,False,27.6,Clear
2025-04-04,0.0,False,26.6,Cloudy
2025-04-05,0.0,False,28.4,Clear
2025-04-06,20.7,True,29.5,Rain
2025-04-07,10.7,True,23.4,Rain
2025-04-08,0.0,False,31.3,Clear
